x111,y111,x121,y121,x211,y211,x221,y221,x311,y311,x321,y321,,x112,y112,x122,y122,x212,y212,x222,y222,x312,y312,x322,y322,,x113,y113,x123,y123,x213,y213,x223,y223,x313,y313,x323,y323,,x114,y114,x124,y124,x214,y214,x224,y224,x314,y314,x324,y324
,,"-0,1230402","0,9486132",,,"-0,1058983","0,9718967",,,"-6,35E-03","9,77E-01",,,,"-0,08238086","0,909484",,,"-0,08106159","0,8655981",,,"-0,0321412","0,8773396",,,,"-0,04860122","0,9236801",,,"-0,03015298","0,9026178",,,"-6,35E-03","9,77E-01",,,,"-0,07378847","0,8873298",,,"-0,09031974","0,9437638",,,"-0,04012885","0,8588596"
,,"-0,1216481","0,9371287",,,"-0,1075344","0,9538994",,,"-3,15E-03","9,62E-01",,,,"-0,08419707","0,8967705",,,"-0,07699543","0,8798296",,,"-0,02649167","0,8914634",,,,"-0,04732936","0,9096897",,,"-0,02726589","0,8888239",,,"-3,15E-03","9,62E-01",,,,"-0,07117204","0,9027014",,,"-0,09246259","0,9276925",,,"-0,03758126","0,8727298"
,,"-0,1160799","0,9524413",,,"-0,1067163","0,9375381",,,"-1,41E-03","9,45E-01",,,,"-0,08374302","0,8845111",,,"-0,07292927","0,8966025",,,"-0,02326337","0,9023589",,,,"-0,04383176","0,8925196",,,"-0,02758668","0,8743885",,,"-1,41E-03","9,45E-01",,,,"-0,06397683","0,9154565",,,"-0,09067688","0,9109068",,,"-0,03191996","0,8897137"
,,"-0,1115557","0,9653179",,,"-0,1050802","0,922813",,,"3,35E-04","9,30E-01",,,,"-0,07784032","0,8999489",,,"-0,07292927","0,9047349",,,"-0,02205276","0,9156757",,,,"-0,04669344","0,8731238",,,"-0,02373723","0,8724638",,,"3,35E-04","9,30E-01",,,,"-0,06364978","0,9265764",,,"-0,09281973","0,8951926",,,"-0,02597559","0,8970734"
,,"-0,1084235","0,9785425",,,"-0,101808","0,9080879",,,"1,79E-03","9,18E-01",,,,"-0,07375384","0,9108462",,,"-0,0688631","0,9179499",,,"-0,01761384","0,9281854",,,,"-0,04510361","0,8632669",,,"-0,02213329","0,8891447",,,"1,79E-03","9,18E-01",,,,"-0,06037923","0,936061",,,"-0,09210545","0,8784069",,,"-0,02484333","0,9089621"
,,"-0,1028553","0,9882869",,,"-0,1028531","0,888802",,,"2,37E-03","8,98E-01",,,,"-0,07284573","0,9217435",,,"-0,06581348","0,9265905",,,"-0,013982","0,935449",,,,"-0,04319583","0,8743956",,,"-0,01860462","0,8990891",,,"2,37E-03","8,98E-01",,,,"-0,05645458","0,9475079",,,"-0,0942483","0,8630499",,,"-0,01804977","0,921417"
,,"-0,09311086","1,003948",,,"-0,1007918","0,8867407",,,"4,11E-03","8,80E-01",,,,"-0,07057546","0,9303705",,,"-0,06123905","0,9367559",,,"-0,01236785","0,9463446",,,,"-0,03969822","0,8893399",,,"-0,01250966","0,9103167",,,"4,11E-03","8,80E-01",,,,"-0,05187581","0,9573195",,,"-0,09139116","0,8759069",,,"-0,01352072","0,9293428"
,,"-0,0917188","1,011256",,,"-0,09718458","0,8980777",,,"8,76E-03","8,91E-01",,,,"-0,07012141","0,9376354",,,"-0,05920597","0,9459048",,,"-0,01277139","0,9544153",,,,"-0,03683654","0,9004687",,,"-0,01250966","0,9228274",,,"8,76E-03","8,91E-01",,,,"-0,04860526","0,9713829",,,"-0,0856769","0,8901926",,,,
,,"-0,08580254","1,021348",,,"-0,09100078","0,9114759",,,"1,17E-02","9,07E-01",,,,"-0,06421871","0,9476245",,,,,,,"-0,01035016","0,9641002",,,,"-0,03333893","0,9109615",,,"-0,004810754","0,9302055",,,"1,17E-02","9,07E-01",,,,,,,,"-0,08103406","0,9019783",,,,
,,"-0,08197438","1,029353",,,"-0,08739356","0,9202363",,,"1,81E-02","9,20E-01",,,,"-0,05521332","0,9660393",,,,,,,"-0,00671832","0,972171",,,,"-0,03015929","0,9211364",,,"-0,0009613022","0,9420747",,,"1,81E-02","9,20E-01",,,,,,,,"-0,08031978","0,9098354",,,,
,,,,,,,,,,"1,86E-02","9,26E-01",,,,,,,,,,,,,,,,,"-0,02729761","0,9303573",,,"0,0009634238","0,949132",,,"1,86E-02","9,26E-01",,,,,,,,"-0,07424838","0,9194782",,,,
,,,,,,,,,,"2,15E-02","9,35E-01",,,,,,,,,,,,,,,,,"-0,02697965","0,9386244",,,,,,,"2,15E-02","9,35E-01",,,,,,,,"-0,0710341","0,9298353",,,,
,,,,,,,,,,"2,76E-02","9,46E-01",,,,,,,,,,,,,,,,,"-0,01998443","0,9535687",,,,,,,"2,76E-02","9,46E-01",,,,,,,,"-0,06746269","0,9369781",,,,
,,,,,,,,,,"2,94E-02","9,56E-01",,,,,,,,,,,,,,,,,,,,,,,,,"2,94E-02","9,56E-01",,,,,,,,"-0,06460556","0,9462638",,,,
,,,,,,,,,,"3,78E-02","9,66E-01",,,,,,,,,,,,,,,,,,,,,,,,,"3,78E-02","9,66E-01",,,,,,,,,,,,,
